Goodness,Model
3737485293,"{'Cc': 1, 'RB1': 511000.0, 'RB2': 12700.0, 'RB3': 5620000.0, 'RC': 1780.0, 'RE_deg': 59.0, 'RE': 2260.0, 'trans_model': 'ZTX107-NOM'}"
3569394178,"{'Cc': 1, 'RB1': 590000.0, 'RB2': 10000.0, 'RB3': 536000.0, 'RC': 2870.0, 'RE_deg': 105.0, 'RE': 1000.0, 'trans_model': 'ZTX107-NOM'}"
3560264275,"{'Cc': 1, 'RB1': 301000.0, 'RB2': 10500.0, 'RB3': 909000.0, 'RC': 2050.0, 'RE_deg': 82.5, 'RE': 953.0, 'trans_model': 'ZTX107-NOM'}"
2885642493,"{'Cc': 1, 'RB1': 133000.0, 'RB2': 16900.0, 'RB3': 71500.0, 'RC': 1100.0, 'RE_deg': 12.7, 'RE': 383.0, 'trans_model': 'ZTX107-NOM'}"
2803772638,"{'Cc': 1, 'RB1': 464000.0, 'RB2': 23700.0, 'RB3': 205000.0, 'RC': 1400.0, 'RE_deg': 13.3, 'RE': 147.0, 'trans_model': 'ZTX107-NOM'}"
2773405458,"{'Cc': 1, 'RB1': 422000.0, 'RB2': 11000.0, 'RB3': 140000.0, 'RC': 1400.0, 'RE_deg': 14.7, 'RE': 121.0, 'trans_model': 'ZTX107-NOM'}"
2732480776,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 16200.0, 'RB3': 64900.00000000001, 'RC': 1150.0, 'RE_deg': 14.0, 'RE': 422.0, 'trans_model': 'ZTX107-NOM'}"
2693058596,"{'Cc': 1, 'RB1': 82500.0, 'RB2': 13300.0, 'RB3': 19600.0, 'RC': 1000.0, 'RE_deg': 12.1, 'RE': 365.0, 'trans_model': 'ZTX107-NOM'}"
2690668520,"{'Cc': 1, 'RB1': 68100.0, 'RB2': 22600.0, 'RB3': 16900.0, 'RC': 1050.0, 'RE_deg': 16.9, 'RE': 196.0, 'trans_model': 'ZTX107-NOM'}"
2682990590,"{'Cc': 1, 'RB1': 169000.0, 'RB2': 20500.0, 'RB3': 68100.0, 'RC': 1210.0, 'RE_deg': 19.6, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
2679872260,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 24900.0, 'RB3': 23700.0, 'RC': 1210.0, 'RE_deg': 12.7, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
